,,Barcode,Quantity,Item Name,Date,Company,Stock Take Code,Warehouse,Bin Location,, Count 2 , Count 3 , Count 4 , Count 5 ,
,,1317100170,1,"SUB PLATE, KCG6 VALVE BLOCK",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-02,45953.35208, -   , -   , -   ,  ,
,,1519101850,4,"BLANK PLATE DG5-8-H, HYDRAULIC PACK, MSC-10-107",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-02,45953.35208, -   , -   , -   ,  ,
,,1515101620,1,"RING, CHUCK, RD7-02-062",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-02,45953.35278, -   , -   , -   ,  ,
,,1524101550,4,"SHOE, 12 7/8"", 10 1/2"" FLAT, CHUCK, RD7-02-070",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-02,45953.35278, -   , -   , -   ,  ,
,,1515101630,0,"SHOE, 14 3/4"", CHUCK, RD7-02-060",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-02,45953.35278, -   , -   , -   ,  ,
,,1322100450,0,"GRIPPER CYLINDER, PIPE LOADER, RD8-14-008",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-02,45953.35278, -   , -   , -   ,  ,
,,1515101660,0,"FORK ARM, CHUCK, RD7-02-056",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-02,45953.35278, -   , -   , -   ,  ,
,,1325100070,240,"GLAND, PACKING, Ø100X 120 X 10, Q495-02-04, NANJING YALONG",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-03-04,45953.35278, -   , -   , -   ,  ,
,,1248100650,10,"CHOKE SPACER RING, Ø100 X 120 X 4, Q495-02-05,NANJING YALONG",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-03-04,45953.35278, -   , -   , -   ,  ,
,,1523110780,120,"OIL SEAL, SEALING BOX, Q495-01-23",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-03-04,45953.35278, -   , -   , -   ,  ,
,,1116100160,90,"BRICK RIB, 16"", REAMING STAB, DHE-03-462",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-03-04,45953.35278, -   , -   , -   ,  ,
,,1537103520,1,"WASHER, LOCKING, MB 9",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-03,45953.35278, -   , -   , -   ,  ,
,,1537103300,3,"LOCK WASHER, MB36",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-03,45953.35278, -   , -   , -   ,  ,
,,1537102810,1,"WASHER, LOCK NUT, MB 32",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-03,45953.35278, -   , -   , -   ,  ,
,,1522103220,4,"PIN, LOWER HINGE, 252903797, LW600KN-T, XCMG",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-03,45953.35278, -   , -   , -   ,  ,
,,1524102500,1,"BOTTOM SPANNER, 12 7/8"", MAIN FRAME, RHI2-01-051",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-03,45953.35278, -   , -   , -   ,  ,
,,1519100360,1,"SPLINE RING END PLATE, 3RD RED, 009-05-122",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-03,45953.35486, -   , -   , -   ,  ,
,,1519112540,0,"BEARING INNER SLEEVE, 3RD RED, 009-05-452",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-03,45953.35486, -   , -   , -   ,  ,
,,1519112590,1,"SPLINE LOCK RING, 3RD RED, 009-05-454",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-03,45953.35486, -   , -   , -   ,  ,
,,1518100160,2,"BULL IDLER SHAFT SPLINE ADAPTOR, 3RD RED, 009-05-071",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-03,45953.35486, -   , -   , -   ,  ,
,,1519100270,5,"IDLER BULL GEAR COVER, 3RD RED, 009-05-103",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-01-03,45953.35486, -   , -   , -   ,  ,
,,1116100110,137,"BRICK RIB, 13 3/4"" , REAMING STAB, DHE-03-239",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-03-05,45953.35694, -   , -   , -   ,  ,
,,1515101570,1,"AUTOSPANNER WRENCHBODY, CHUCK, RD7-02-053",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-01,45953.35972, -   , -   , -   ,  ,
,,1515101690,2,"PIN BUSH, CHUCK, RD7-02-076",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-01,45953.35972, -   , -   , -   ,  ,
,,1513100140,4,"CYLINDER PIN 6, PIPE LOADER, RD8-14-176",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-01,45953.35972, -   , -   , -   ,  ,
,,1519100300,4,"BULL IDLER SPINDLE END CAP, 3RD RED, 009-05-106",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-01,45953.35972, -   , -   , -   ,  ,
,,1710100710,1,,0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-01,45953.35972, -   , -   , -   ,  ,
,,1710100980,1,,0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-01,45953.35972, -   , -   , -   ,  ,
,,1522100010,1,"EXPANSION PIN, Ø110 X 381, MAIN FRAME, 009-01-005",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-01,45953.35972, -   , -   , -   ,  ,
,,1522100000,9,"EXPANSION PIN, Ø110 X 483, MAIN FRAME, 009-01-004",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-01,45953.35972, -   , -   , -   ,  ,
,,1116100250,90,"BRICK RIB, 15"", 960MM, REAMING STAB, DHE-03-654",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-03-06,45953.36042, -   , -   , -   ,  ,
,,1116100110,45,"BRICK RIB, 13 3/4"" , REAMING STAB, DHE-03-239",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-03-06,45953.36042, -   , -   , -   ,  ,
,,1518103740,1,"H/S DRIVE GEAR, TOP ASSEM, RHINO, 21006828",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-05,45953.36111, -   , -   , -   ,  ,
,,1519110060,3,"TRANSFER RING, TOP ASSEM, RHINO, 21130048",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-05,45953.36111, -   , -   , -   ,  ,
,,1518103750,1,"HUB GEAR, TOP ASSEM, RHINO, 21006958",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-05,45953.36111, -   , -   , -   ,  ,
,,1524102430,1,"L/S DRIVE GEAR, TOP ASSEMBLY, RHINO, 21006708",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-05,45953.36111, -   , -   , -   ,  ,
,,1524102420,1,"H/S GEAR SHAFT, TOP ASSEMBLY, RHINO, 21006678",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-05,45953.36111, -   , -   , -   ,  ,
,,1518103780,1,"2ND IDLER GEAR, TOP ASSEM, RHINO, 21006548",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-05,45953.36111, -   , -   , -   ,  ,
,,1518103760,2,"1ST IDLER GEAR PINION, TOP ASSEM, RHINO, 21023608",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-05,45953.36111, -   , -   , -   ,  ,
,,1518103770,0,"1ST IDLER GEAR, TOP ASSEM, RHINO, 21006418",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-05,45953.36111, -   , -   , -   ,  ,
,,1518103620,0,"PINION GEAR, TOP ASSEM, RHINO, 21129818",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-05,45953.36111, -   , -   , -   ,  ,
,,1135100530,5,"MIDDLE ROD, Q495-01-19, NANJING YALONG",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-03-07,45953.36181, -   , -   , -   ,  ,
,,1518100280,0,"INPUT SPLINE COUPLING, 1ST RED, 52R-03-052",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-06,45953.3625, -   , -   , -   ,  ,
,,1322101530,0,"CYLINDER, HYTEC, S250 - 63 / 40 X 600 - SB - FC - 1",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-06,45953.3625, -   , -   , -   ,  ,
,,1510106530,1,"BEARING, SPHERICAL ROLLER, 223028 EAS.M",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-06,45953.3625, -   , -   , -   ,  ,
,,1114101420,1,"SPACER SLEEVE, STEMS, DHE-02-510",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-14-06,45953.3625, -   , -   , -   ,  ,
,,1514100610,2,"BUSHING 2, PIPE LOADER, 009-14-258",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-02,45953.3625, -   , -   , -   ,  ,
,,1519110770,1,"BRACKET, TOP AUTOSPANNER, CHUCK, RD7-02-104",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-02,45953.3625, -   , -   , -   ,  ,
,,1515100490,4,"FLOATBOX RING, CHUCK, 83R-02-062",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-02,45953.3625, -   , -   , -   ,  ,
,,1532100270,1,"FLOATBOX SEAL CARRIER SPACER, CHUCK, 83R-02-115",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-02,45953.3625, -   , -   , -   ,  ,
,,1515102080,1,"FLOAT BOX, STEP 1, 2ND RED, RD6-04-151",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-02,45953.3625, -   , -   , -   ,  ,
,,1515100460,0,"CLAMP RING, CHUCK, 83R-02-054",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-02,45953.3625, -   , -   , -   ,  ,
,,1524100660,1,"BREAKOUT RING, 48T, CHUCK, RD2-02-052",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-05,45953.36458, -   , -   , -   ,  ,
,,1515100640,1,"CLAMP RING, CHUCK, RD2-02-051",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-05,45953.36458, -   , -   , -   ,  ,
,,1515100650,0,"FLOATBOX (UP DRILL), 8"" DI-22, CHUCK, RD2-02-054",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-05,45953.36458, -   , -   , -   ,  ,
,,1519102000,0,"WATERBOX, CHUCK, RD2-02-056",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-05,45953.36458, -   , -   , -   ,  ,
,,1510100100,4,"BEARING, SPHERICAL ROLLER, 22234, CC/W33",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-03,45953.36528, -   , -   , -   ,  ,
,,1519100530,3,"BULL IDLER SPINDLE, 3RD RED, 009-05-211",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-03,45953.36528, -   , -   , -   ,  ,
,,1519100540,1,"SPACER, 3RD RED, 009-05-212",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-03,45953.36528, -   , -   , -   ,  ,
,,1519100290,1,"SPACER, 3RD RED, 009-05-105",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-03,45953.36528, -   , -   , -   ,  ,
,,1519100380,1,"LOCK NUT RING, 3RD RED, 009-05-124",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-03,45953.36528, -   , -   , -   ,  ,
,,1515101700,16,"BLOCK, CHUCK, RD7-02-055",0,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,H-02-03,45953.36528, -   , -   , -   ,  ,
,,1519102020,1,"SEAL CARRIER, 1ST RED, RD2-03-057",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-04,45953.36597, -   , -   , -   ,  ,
